Player	Team	Games	Position	TurnoverPct	ReboundPct	AssistPct	FieldGoalPct
Jimmy Butler	CHI	76.0	SmallForward	9.3	9.0	24.8	45.5
Bruno Caboclo	TOR	9.0	SmallForward	11.1	14.1	15.1	37.5
Jose Calderon	TOT	41.0	PointGuard	22.7	7.5	23.3	41.0
Jose Calderon	LAL	24.0	PointGuard	24.8	7.9	24.7	41.6
Jose Calderon	ATL	17.0	PointGuard	19.9	7.1	21.6	40.400000000000006
Kentavious Caldwell-Pope	DET	76.0	ShootingGuard	7.9	5.3	11.2	39.900000000000006
Isaiah Canaan	CHI	39.0	ShootingGuard	9.6	4.5	9.0	36.4
Clint Capela	HOU	65.0	Center	12.0	18.5	6.9	64.3
DeMarre Carroll	TOR	72.0	SmallForward	8.3	8.3	5.7	40.1
Vince Carter	MEM	73.0	SmallForward	8.5	7.2	11.5	39.4
Michael Carter-Williams	CHI	45.0	PointGuard	16.3	9.7	20.0	36.6
Omri Casspi	TOT	36.0	SmallForward	14.0	10.1	8.6	46.7
Omri Casspi	SAC	22.0	SmallForward	11.9	13.1	10.1	45.300000000000004
Omri Casspi	NOP	1.0	SmallForward	18.2	4.4	0.0	55.60000000000001
Omri Casspi	MIN	13.0	SmallForward	19.0	5.3	6.8	48.699999999999996
Willie Cauley-Stein	SAC	75.0	Center	11.2	13.8	9.4	53.0
Tyson Chandler	PHO	47.0	Center	19.2	22.6	3.3	67.10000000000001
Wilson Chandler	DEN	71.0	SmallForward	10.0	11.5	9.8	46.1
Marquese Chriss	PHO	82.0	PowerForward	13.2	10.8	5.2	44.9
Rakeem Christmas	IND	29.0	PowerForward	12.5	14.4	2.5	44.2
Semaj Christon	OKC	64.0	PointGuard	15.4	5.0	18.1	34.5
Ian Clark	GSW	77.0	ShootingGuard	10.7	5.9	11.2	48.699999999999996
Jordan Clarkson	LAL	82.0	ShootingGuard	12.5	5.6	14.4	44.5
Norris Cole	OKC	13.0	PointGuard	11.0	4.9	16.3	30.8
Darren Collison	SAC	68.0	PointGuard	12.6	4.3	24.5	47.599999999999994
Nick Collison	OKC	20.0	PowerForward	13.1	13.0	13.2	60.9
Mike Conley	MEM	69.0	PointGuard	11.8	6.0	34.5	46.0
Pat Connaughton	POR	39.0	ShootingGuard	18.3	9.1	12.7	51.4
Quinn Cook	TOT	14.0	PointGuard	16.0	2.0	22.8	50.0
Quinn Cook	DAL	5.0	PointGuard	23.6	2.3	25.7	44.0
Quinn Cook	NOP	9.0	PointGuard	10.6	1.9	20.7	53.7
DeMarcus Cousins	TOT	72.0	Center	13.5	18.2	25.8	45.2
DeMarcus Cousins	SAC	55.0	Center	13.2	17.9	27.4	45.1
DeMarcus Cousins	NOP	17.0	Center	14.4	19.5	20.6	45.2
Robert Covington	PHI	67.0	SmallForward	13.9	11.3	7.5	39.900000000000006
Allen Crabbe	POR	79.0	ShootingGuard	8.1	5.5	6.1	46.800000000000004
Jamal Crawford	LAC	82.0	ShootingGuard	12.3	3.3	15.1	41.3
Jordan Crawford	NOP	19.0	ShootingGuard	9.8	4.1	22.7	48.199999999999996
Jae Crowder	BOS	72.0	SmallForward	8.8	9.9	10.1	46.300000000000004
Dante Cunningham	NOP	66.0	SmallForward	7.0	8.9	3.1	48.5
Seth Curry	DAL	70.0	PointGuard	11.0	5.1	15.9	48.1
Stephen Curry	GSW	79.0	PointGuard	13.0	7.3	31.1	46.800000000000004
Troy Daniels	MEM	67.0	ShootingGuard	8.0	4.8	6.6	37.4
Anthony Davis	NOP	75.0	Center	9.1	17.3	11.1	50.4
Deyonta Davis	MEM	36.0	Center	12.7	14.4	1.3	51.1
Ed Davis	POR	46.0	PowerForward	17.2	17.1	4.8	52.800000000000004
Dewayne Dedmon	SAS	76.0	Center	16.9	21.1	4.8	62.2
Sam Dekker	HOU	77.0	SmallForward	8.2	10.9	7.7	47.3
Malcolm Delaney	ATL	73.0	PointGuard	18.1	5.5	23.1	37.4
Matthew Dellavedova	MIL	76.0	PointGuard	18.8	4.3	25.7	39.0
Luol Deng	LAL	56.0	SmallForward	8.7	10.8	7.0	38.7
DeMar DeRozan	TOR	74.0	ShootingGuard	9.0	8.3	20.6	46.7
Cheick Diallo	NOP	17.0	PowerForward	7.6	19.3	3.2	47.4
Boris Diaw	UTA	73.0	PowerForward	20.3	7.1	20.3	44.6
Gorgui Dieng	MIN	82.0	PowerForward	12.7	14.2	8.6	50.2
Spencer Dinwiddie	BRK	59.0	PointGuard	15.1	6.5	20.3	44.4
Toney Douglas	MEM	24.0	PointGuard	13.9	8.9	22.2	36.8
Goran Dragic	MIA	73.0	PointGuard	14.1	6.3	29.0	47.5
Andre Drummond	DET	81.0	Center	12.5	25.3	5.9	53.0
Jared Dudley	PHO	64.0	PowerForward	16.1	9.0	12.5	45.4
Mike Dunleavy	TOT	53.0	SmallForward	10.5	7.5	8.6	42.3
Mike Dunleavy	CLE	23.0	SmallForward	12.5	7.1	7.5	40.0
Mike Dunleavy	ATL	30.0	SmallForward	9.0	7.9	9.5	43.8
Kris Dunn	MIN	78.0	PointGuard	20.8	7.3	19.4	37.7
Kevin Durant	GSW	62.0	SmallForward	10.4	13.6	23.1	53.7
Jarell Eddie	PHO	5.0	SmallForward	4.2	6.1	0.0	31.6
Henry Ellenson	DET	19.0	PowerForward	17.2	15.3	7.2	35.9
Wayne Ellington	MIA	62.0	ShootingGuard	5.0	4.9	7.1	41.6
Monta Ellis	IND	74.0	ShootingGuard	18.0	5.7	17.2	44.3
Joel Embiid	PHI	31.0	Center	17.9	17.0	16.0	46.6
James Ennis	MEM	64.0	SmallForward	13.8	9.9	6.5	45.5
Tyler Ennis	TOT	53.0	PointGuard	17.0	4.3	21.7	43.3
Tyler Ennis	HOU	31.0	PointGuard	26.9	5.3	24.5	39.1
Tyler Ennis	LAL	22.0	PointGuard	12.0	3.8	20.3	45.1
Tyreke Evans	TOT	40.0	SmallForward	12.9	9.5	25.9	40.5
Tyreke Evans	NOP	26.0	SmallForward	13.4	9.6	31.3	40.1
Tyreke Evans	SAC	14.0	SmallForward	12.2	9.4	17.7	41.3
Dante Exum	UTA	66.0	PointGuard	16.8	6.2	14.2	42.699999999999996
