# Column Descriptions:
# gp: Games Played.
# pts: (场均得分) points (per game).
# reb: (篮板) Rebounds. The number of times a team or player recovers the ball after a missed shot attempt.
# ast: (助攻) how many of this person's teammates made goals were a result of that player's assists.
# net_rating: (每百回合净胜分) the team's point differential per 100 possessions while he is on court.
# oreb_pct: (抢下进攻篮板百分比) the percentage of team offensive rebounds grabbed by a player or team.
# dreb_pct: (抢下防守篮板百分比) the percentage of team defensive rebounds grabbed by a player or team.
# usg_pct: (结束控球百分比(被犯规，没投进)) the percentage of his team's possessions that a player ends (via field goal attempts, turnovers and trips to the line) while he's on the floor.
# ts_pct: (真实投篮命中率(罚球被加权)) Pts/(2*(FGA + (.44*FTA)))
# ast_pct: (助攻率) The percentage of a team's assists that a player has while on the court.
Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
887,Derek Harper,LAL,37,193.04,93.439952,Illinois,USA,1983,1,11,45,6.9,1.5,4.2,-2.6,0.014,0.052,0.143,0.506,0.255,1999-00
900,Derek Fisher,LAL,24,185.42,90.7184,Arkansas-Little Rock,USA,1996,1,24,50,5.9,1.8,3.9,8.9,0.023,0.074,0.149,0.497,0.256,1999-00
925,Dennis Rodman,LAL,38,200.66,95.25432,Southeastern Oklahoma State,USA,1986,2,27,23,2.1,11.2,1.3,-1.4,0.114,0.348,0.065,0.388,0.063,1999-00
950,J.R. Reid,LAL,31,208.28,112.037224,North Carolina,USA,1989,1,5,41,9.0,5.2,1.2,-0.7,0.055,0.181,0.18,0.547,0.081,1999-00
951,Glen Rice,LAL,32,203.2,99.79024,Michigan,USA,1989,1,4,27,17.5,3.7,2.6,4.2,0.011,0.108,0.224,0.542,0.118,1999-00
1088,Ruben Patterson,LAL,23,198.12,102.965384,Cincinnati,USA,1998,2,31,24,2.7,1.3,0.1,-4.0,0.13,0.107,0.229,0.503,0.024,1999-00
1092,Sam Jacobson,LAL,23,193.04,97.52228,Minnesota,USA,1998,1,26,2,4.0,1.5,0.0,26.0,0.0,0.214,0.24,0.68,0.0,1999-00
1102,Sean Rooks,LAL,29,208.28,117.93392,Arizona,USA,1992,2,30,36,2.7,2.0,0.3,-7.6,0.111,0.156,0.172,0.489,0.051,1999-00
1105,Shaquille O'Neal,LAL,27,215.9,142.88148,Louisiana State,USA,1992,1,1,49,26.3,10.7,2.3,6.4,0.135,0.227,0.325,0.584,0.132,1999-00
1123,Robert Horry,LAL,28,208.28,106.59412,Alabama,USA,1992,1,11,38,4.9,4.0,1.5,9.0,0.091,0.148,0.13,0.565,0.112,1999-00
1134,Rick Fox,LAL,29,200.66,109.769264,North Carolina,Canada,1991,1,24,44,9.0,2.0,2.0,4.2,0.033,0.078,0.202,0.534,0.16,1999-00
1143,Travis Knight,LAL,24,213.36,106.59412,Connecticut,USA,1996,1,29,37,4.2,3.5,0.8,0.9,0.077,0.195,0.15,0.546,0.087,1999-00
1150,Tyronn Lue,LAL,22,182.88,79.3786,Nebraska,USA,1998,1,23,15,5.0,0.3,1.7,1.7,0.006,0.025,0.199,0.505,0.207,1999-00
1225,Kobe Bryant,LAL,20,200.66,97.52228,None,USA,1996,1,13,50,19.9,5.3,3.8,2.8,0.033,0.128,0.254,0.549,0.176,1999-00
