# Column Descriptions:
# gp: Games Played.
# pts: (场均得分) points (per game).
# reb: (篮板) Rebounds. The number of times a team or player recovers the ball after a missed shot attempt.
# ast: (助攻) how many of this person's teammates made goals were a result of that player's assists.
# net_rating: (每百回合净胜分) the team's point differential per 100 possessions while he is on court.
# oreb_pct: (抢下进攻篮板百分比) the percentage of team offensive rebounds grabbed by a player or team.
# dreb_pct: (抢下防守篮板百分比) the percentage of team defensive rebounds grabbed by a player or team.
# usg_pct: (结束控球百分比(被犯规，没投进)) the percentage of his team's possessions that a player ends (via field goal attempts, turnovers and trips to the line) while he's on the floor.
# ts_pct: (真实投篮命中率(罚球被加权)) Pts/(2*(FGA + (.44*FTA)))
# ast_pct: (助攻率) The percentage of a team's assists that a player has while on the court.
Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
5354,Jordan Farmar,LAL,22,187.96,81.64656,UCLA,USA,2006,1,26,65,6.4,1.8,2.4,1.7,0.021,0.089,0.194,0.466,0.194,2008-09
5385,Lamar Odom,LAL,29,208.28,104.32616,Rhode Island,USA,1999,1,4,78,11.3,8.2,2.6,14.8,0.088,0.221,0.181,0.542,0.126,2008-09
5401,Josh Powell,LAL,26,205.74,108.86208,North Carolina State,USA,Undrafted,Undrafted,Undrafted,60,4.2,2.9,0.5,-9.2,0.115,0.169,0.194,0.479,0.06,2008-09
5420,Kobe Bryant,LAL,30,198.12,92.98636,None,USA,1996,1,13,82,26.8,5.2,4.9,10.8,0.035,0.127,0.322,0.561,0.232,2008-09
5428,Derek Fisher,LAL,34,185.42,95.25432,Arkansas-Little Rock,USA,1996,1,24,82,9.9,2.3,3.2,10.7,0.012,0.074,0.148,0.546,0.146,2008-09
5448,Luke Walton,LAL,29,203.2,106.59412,Arizona,USA,2003,2,32,65,5.0,2.8,2.7,8.1,0.054,0.116,0.15,0.491,0.204,2008-09
5517,Shannon Brown,LAL,23,193.04,95.707912,Michigan State,USA,2006,1,25,48,4.2,0.9,0.8,-3.0,0.029,0.084,0.213,0.554,0.139,2008-09
5553,Sasha Vujacic,LAL,25,200.66,92.98636,None,Slovenia,2004,1,27,80,5.8,1.7,1.4,2.6,0.016,0.103,0.158,0.531,0.13,2008-09
5576,DJ Mbenga,LAL,28,213.36,115.66596,None,Democratic Republic of the Congo,Undrafted,Undrafted,Undrafted,23,2.7,1.3,0.4,0.4,0.054,0.126,0.18,0.504,0.078,2008-09
5597,Trevor Ariza,LAL,24,203.2,95.25432,UCLA,USA,2004,2,43,82,8.9,4.3,1.8,8.1,0.064,0.138,0.167,0.544,0.106,2008-09
5682,Pau Gasol,LAL,28,213.36,113.398,None,Spain,2001,1,3,81,18.9,9.6,3.5,9.1,0.101,0.194,0.205,0.617,0.146,2008-09
5691,Adam Morrison,LAL,24,203.2,92.98636,Gonzaga,USA,2006,1,3,52,4.0,1.5,0.8,-7.4,0.032,0.11,0.177,0.448,0.101,2008-09
5733,Chris Mihm,LAL,29,213.36,120.20188,Texas,USA,2000,1,7,18,2.0,1.9,0.6,-17.2,0.153,0.184,0.219,0.418,0.172,2008-09
5776,Andrew Bynum,LAL,21,213.36,129.27372,None,USA,2005,1,10,50,14.3,8.0,1.4,7.6,0.108,0.2,0.21,0.598,0.076,2008-09
