Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,Position
2422,erick barkley,POR,24,185.42,80.285784,St. John's (NY),USA,2000,1,28,19,3.1,0.9,1.8,1.2,0.026,0.067,0.175,0.401,0.238,Feb-01,
2423,eric williams,BOS,29,203.2,99.79024,Providence,USA,1995,1,14,74,6.4,3.0,1.5,5.4,0.036,0.105,0.149,0.49,0.099,Feb-01,
2424,eric snow,PHI,29,190.5,92.532768,Michigan State,USA,1995,2,43,61,12.1,3.5,6.6,5.1,0.017,0.09,0.178,0.51,0.301,Feb-01,
2425,eric piatkowski,LAC,31,198.12,97.52228,Nebraska,USA,1994,1,15,71,8.8,2.6,1.6,-2.4,0.028,0.093,0.152,0.601,0.101,Feb-01,
2426,eric montross,TOR,30,213.36,122.46984,North Carolina,USA,1994,1,9,49,2.4,2.9,0.3,-9.1,0.062,0.19,0.121,0.398,0.039,Feb-01,
2427,emanual davis,ATL,33,195.58,88.45044,Delaware State,USA,Undrafted,Undrafted,Undrafted,28,6.6,2.6,2.4,-8.4,0.028,0.076,0.151,0.449,0.145,Feb-01,
2428,elton brand,LAC,23,203.2,120.20188,Duke,USA,1999,1,1,80,18.2,11.6,2.4,-0.2,0.152,0.198,0.212,0.586,0.109,Feb-01,
2429,elliot perry,MEM,33,182.88,68.0388,Memphis,USA,1991,2,37,2,5.5,2.0,3.5,-42.0,0.0,0.118,0.181,0.506,0.389,Feb-01,
2430,eldridge recasner,LAC,34,190.5,86.18248,Washington,USA,1992,Undrafted,Undrafted,6,0.8,0.0,0.8,-0.3,0.0,0.0,0.106,0.388,0.313,Feb-01,
2431,elden campbell,CHH,33,213.36,126.552168,Clemson,USA,1990,1,27,77,13.9,6.9,1.3,0.5,0.07,0.215,0.235,0.558,0.084,Feb-01,
2432,eduardo najera,DAL,25,203.2,106.140528,Oklahoma,Mexico,2000,2,38,62,6.5,5.5,0.6,12.1,0.123,0.159,0.132,0.548,0.039,Feb-01,
2433,eddy curry,CHI,19,210.82,129.27372,None,USA,2001,1,4,72,6.7,3.8,0.3,-11.1,0.113,0.162,0.207,0.54,0.039,Feb-01,
2434,eddie robinson,CHI,26,205.74,92.98636,Central Oklahoma,USA,Undrafted,Undrafted,Undrafted,29,9.0,2.7,1.3,-11.7,0.043,0.104,0.212,0.489,0.097,Feb-01,
2435,eddie jones,MIA,30,198.12,90.7184,Temple,USA,1994,1,10,81,18.3,4.7,3.2,1.0,0.023,0.115,0.227,0.546,0.152,Feb-01,
2436,eddie house,MIA,24,185.42,81.64656,Arizona State,USA,2000,2,37,64,8.0,1.7,1.9,-3.3,0.016,0.092,0.239,0.471,0.186,Feb-01,
