Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,season_year,total_points
690,Corie Blount,LAL,29,208.28,109.769264,Cincinnati,USA,1993,1,25,70,3.6,4.3,0.5,5.1,0.126,0.201,0.115,0.572,0.053,1997-98,1997.0,252.0
794,Jon Barry,LAL,28,195.58,95.25432,Georgia Tech,USA,1992,1,21,49,2.5,0.8,1.0,4.7,0.021,0.077,0.151,0.518,0.194,1997-98,1997.0,122.5
845,Derek Fisher,LAL,23,185.42,90.7184,Arkansas-Little Rock,USA,1996,1,24,82,5.8,2.4,4.1,9.1,0.026,0.099,0.141,0.533,0.27,1997-98,1997.0,475.59999999999997
849,Eddie Jones,LAL,26,198.12,90.7184,Temple,USA,1994,1,10,80,16.8,3.8,3.1,10.3,0.034,0.083,0.196,0.591,0.133,1997-98,1997.0,1344.0
853,Elden Campbell,LAL,29,213.36,115.66596,Clemson,USA,1990,1,27,81,10.1,5.6,1.0,1.7,0.093,0.201,0.223,0.527,0.075,1997-98,1997.0,818.1
887,Derek Harper,LAL,37,193.04,93.439952,Illinois,USA,1983,1,11,45,6.9,1.5,4.2,-2.6,0.014,0.052,0.143,0.506,0.255,1998-99,1998.0,310.5
900,Derek Fisher,LAL,24,185.42,90.7184,Arkansas-Little Rock,USA,1996,1,24,50,5.9,1.8,3.9,8.9,0.023,0.074,0.149,0.497,0.256,1998-99,1998.0,295.0
925,Dennis Rodman,LAL,38,200.66,95.25432,Southeastern Oklahoma State,USA,1986,2,27,23,2.1,11.2,1.3,-1.4,0.114,0.348,0.065,0.388,0.063,1998-99,1998.0,48.300000000000004
950,J.R. Reid,LAL,31,208.28,112.037224,North Carolina,USA,1989,1,5,41,9.0,5.2,1.2,-0.7,0.055,0.181,0.18,0.547,0.081,1998-99,1998.0,369.0
951,Glen Rice,LAL,32,203.2,99.79024,Michigan,USA,1989,1,4,27,17.5,3.7,2.6,4.2,0.011,0.108,0.224,0.542,0.118,1998-99,1998.0,472.5
1088,Ruben Patterson,LAL,23,198.12,102.965384,Cincinnati,USA,1998,2,31,24,2.7,1.3,0.1,-4.0,0.13,0.107,0.229,0.503,0.024,1998-99,1998.0,64.80000000000001
1092,Sam Jacobson,LAL,23,193.04,97.52228,Minnesota,USA,1998,1,26,2,4.0,1.5,0.0,26.0,0.0,0.214,0.24,0.68,0.0,1998-99,1998.0,8.0
1102,Sean Rooks,LAL,29,208.28,117.93392,Arizona,USA,1992,2,30,36,2.7,2.0,0.3,-7.6,0.111,0.156,0.172,0.489,0.051,1998-99,1998.0,97.2
1105,Shaquille O'Neal,LAL,27,215.9,142.88148,Louisiana State,USA,1992,1,1,49,26.3,10.7,2.3,6.4,0.135,0.227,0.325,0.584,0.132,1998-99,1998.0,1288.7
1123,Robert Horry,LAL,28,208.28,106.59412,Alabama,USA,1992,1,11,38,4.9,4.0,1.5,9.0,0.091,0.148,0.13,0.565,0.112,1998-99,1998.0,186.20000000000002
1134,Rick Fox,LAL,29,200.66,109.769264,North Carolina,Canada,1991,1,24,44,9.0,2.0,2.0,4.2,0.033,0.078,0.202,0.534,0.16,1998-99,1998.0,396.0
1143,Travis Knight,LAL,24,213.36,106.59412,Connecticut,USA,1996,1,29,37,4.2,3.5,0.8,0.9,0.077,0.195,0.15,0.546,0.087,1998-99,1998.0,155.4
1150,Tyronn Lue,LAL,22,182.88,79.3786,Nebraska,USA,1998,1,23,15,5.0,0.3,1.7,1.7,0.006,0.025,0.199,0.505,0.207,1998-99,1998.0,75.0
1225,Kobe Bryant,LAL,20,200.66,97.52228,None,USA,1996,1,13,50,19.9,5.3,3.8,2.8,0.033,0.128,0.254,0.549,0.176,1998-99,1998.0,994.9999999999999
1385,John Celestand,LAL,23,193.04,80.739376,Villanova,USA,1999,2,30,16,2.3,0.7,1.3,-3.1,0.006,0.056,0.148,0.388,0.165,1999-00,1999.0,36.8
1387,John Salley,LAL,36,210.82,115.66596,Georgia Tech,USA,1986,1,11,45,1.6,1.4,0.6,0.7,0.068,0.156,0.148,0.437,0.146,1999-00,1999.0,72.0
1413,Kobe Bryant,LAL,21,200.66,95.25432,None,USA,1996,1,13,66,22.5,6.3,4.9,10.4,0.046,0.128,0.266,0.546,0.215,1999-00,1999.0,1485.0
1478,Tyronn Lue,LAL,23,182.88,79.3786,Nebraska,USA,1998,1,23,8,6.0,1.5,2.1,-10.3,0.014,0.078,0.149,0.564,0.185,1999-00,1999.0,48.0
1483,Travis Knight,LAL,25,213.36,106.59412,Connecticut,USA,1996,1,29,63,1.7,2.0,0.4,3.7,0.124,0.22,0.167,0.418,0.092,1999-00,1999.0,107.1
1492,Robert Horry,LAL,29,208.28,106.59412,Alabama,USA,1992,1,11,76,5.7,4.8,1.6,12.3,0.088,0.143,0.126,0.528,0.103,1999-00,1999.0,433.2
1496,Rick Fox,LAL,30,200.66,109.769264,North Carolina,Canada,1991,1,24,82,6.5,2.4,1.7,8.3,0.046,0.098,0.183,0.502,0.144,1999-00,1999.0,533.0
1523,Shaquille O'Neal,LAL,28,215.9,142.88148,Louisiana State,USA,1992,1,1,79,29.7,13.6,3.8,11.0,0.116,0.246,0.313,0.578,0.184,1999-00,1999.0,2346.2999999999997
1548,Ron Harper,LAL,36,198.12,97.52228,Miami (OH),USA,1986,1,8,80,7.0,4.2,3.4,7.6,0.051,0.128,0.157,0.468,0.189,1999-00,1999.0,560.0
1569,Brian Shaw,LAL,34,198.12,90.7184,California-Santa Barbara,USA,1988,1,24,74,4.1,2.9,2.7,5.6,0.039,0.144,0.147,0.441,0.239,1999-00,1999.0,303.4
1626,A.C. Green,LAL,36,205.74,102.0582,Oregon State,USA,1985,1,23,82,5.0,5.9,1.0,8.1,0.089,0.179,0.111,0.482,0.058,1999-00,1999.0,410.0
1658,Glen Rice,LAL,33,203.2,99.79024,Michigan,USA,1989,1,4,80,15.9,4.1,2.2,7.9,0.024,0.114,0.221,0.551,0.11,1999-00,1999.0,1272.0
1709,Derek Fisher,LAL,25,185.42,90.7184,Arkansas-Little Rock,USA,1996,1,24,78,6.3,1.8,2.8,13.4,0.013,0.07,0.153,0.449,0.176,1999-00,1999.0,491.4
1748,Devean George,LAL,22,203.2,99.79024,Augsburg,USA,1999,1,23,49,3.2,1.5,0.2,4.1,0.088,0.135,0.227,0.478,0.061,1999-00,1999.0,156.8
1796,Greg Foster,LAL,32,210.82,113.398,Texas-El Paso,USA,1990,2,35,62,2.0,1.8,0.5,-11.2,0.071,0.22,0.171,0.449,0.125,Jan-00,,124.0
1830,Horace Grant,LAL,35,208.28,111.13004,Clemson,USA,1987,1,10,77,8.5,7.1,1.6,7.1,0.106,0.149,0.13,0.511,0.073,Jan-00,,654.5
1832,Isaiah Rider,LAL,30,195.58,97.52228,Nevada-Las Vegas,USA,1993,1,5,67,7.6,2.3,1.7,0.0,0.041,0.107,0.226,0.499,0.155,Jan-00,,509.2
1853,Mark Madsen,LAL,25,205.74,108.86208,Stanford,USA,2000,1,29,70,2.0,2.2,0.3,-5.1,0.127,0.137,0.108,0.53,0.06,Jan-00,,140.0
